City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,otjiwarongo,-20.4637,16.6477,25.48,39,93,7.04,NA,1680360029
84,yarada,17.65,83.2667,28.18,74,40,3.09,IN,1680360029
85,bhuj,23.2667,69.6667,26.9,46,11,7.44,IN,1680359489
86,suez,29.9737,32.5263,21.02,35,0,5.05,EG,1680360030
87,emerald,-23.5333,148.1667,21.86,84,65,3.6,AU,1680360030
88,mahebourg,-20.4081,57.7,27.36,78,40,3.6,MU,1680360030
89,buraydah,26.326,43.975,23.25,12,74,3.93,SA,1680360030
90,dikson,73.5069,80.5464,-8.16,89,100,9.34,RU,1680360030
91,alugan,12.2188,125.4808,26.4,79,66,1.97,PH,1680360031
92,hithadhoo,-0.6,73.0833,28.36,69,69,2.38,MV,1680360031
93,ancud,-41.8697,-73.8203,14.11,87,92,3.24,CL,1680360031
94,messina,38.1933,15.5497,21.75,36,20,7.72,IT,1680360031
95,barra patuca,15.8,-84.2833,28.14,61,29,5.7,HN,1680360031
96,victoria,22.2855,114.1577,22.19,90,100,4.02,HK,1680359838
97,castro,-24.7911,-50.0119,24.57,62,64,2.66,BR,1680360032
98,labuhan,-6.8844,112.2051,25.38,83,100,3.94,ID,1680360032
99,charleston,32.7766,-79.9309,24.5,76,0,8.23,US,1680359858
100,haines junction,60.7522,-137.5108,-4.03,74,100,4.12,CA,1680360032
101,shingu,33.7333,135.9833,12.42,72,72,2.71,JP,1680360033
102,san juan de colon,8.0313,-72.2605,20.77,64,100,1.23,VE,1680360033
103,rio grande,-32.035,-52.0986,22.06,58,37,7.99,BR,1680360033
104,shar,49.5886,81.0453,-5.98,54,0,7.68,KZ,1680360033
105,tevriz,57.509,72.4042,-1.79,77,99,4.95,RU,1680360034
106,fairbanks,64.8378,-147.7164,-10.81,75,40,2.06,US,1680359558
107,barrow,71.2906,-156.7887,-15.99,92,100,0.0,US,1680359881
108,kisangani,0.5167,25.2,29.53,52,86,0.73,CD,1680360034
109,liverpool,53.4106,-2.9779,11.83,68,75,5.14,GB,1680360034
110,puerto colombia,10.9878,-74.9547,27.05,72,95,7.32,CO,1680360034
111,akyab,20.15,92.9,26.8,78,15,4.84,MM,1680360034
112,cherskiy,68.75,161.3,-31.44,100,98,1.49,RU,1680360035
113,worthington,40.0931,-83.018,17.82,68,0,12.35,US,1680360035
114,stillwater,36.1156,-97.0584,8.95,45,0,5.66,US,1680360000
115,toropets,56.4978,31.6353,1.56,99,100,1.71,RU,1680360035
116,hasaki,35.7333,140.8333,14.01,54,25,4.65,JP,1680360036
117,muroto,33.2833,134.15,16.8,64,98,4.46,JP,1680360036
118,komsomolskiy,40.4272,71.7189,20.4,30,88,3.09,UZ,1680360036
119,magadan,59.5667,150.8,-3.59,93,100,3.16,RU,1680360036
120,evanston,42.0411,-87.6901,3.39,79,100,7.72,US,1680360036
121,arraial do cabo,-22.9661,-42.0278,28.98,69,40,4.12,BR,1680360036
122,columbia,34.0007,-81.0348,21.39,79,100,6.69,US,1680359522
123,chuy,-33.6971,-53.4616,21.53,47,36,6.34,UY,1680360036
124,pangody,65.85,74.4859,0.83,92,100,10.47,RU,1680360036
125,luderitz,-26.6481,15.1594,19.63,73,4,2.55,NA,1680360036
126,caraballeda,10.6112,-66.8522,29.37,71,64,5.66,VE,1680360036
127,eureka,40.8021,-124.1637,9.96,80,100,3.58,US,1680360037
128,dabola,10.75,-11.1167,39.3,11,7,2.29,GN,1680360037
129,lebanon,36.2081,-86.2911,20.99,48,0,7.2,US,1680359836
130,atuona,-9.8,-139.0333,26.86,78,76,6.48,PF,1680360037
131,naze,28.3667,129.4833,19.51,87,69,2.26,JP,1680360037
132,paithan,19.4833,75.3833,29.84,20,59,1.6,IN,1680360037
133,samana,19.2056,-69.3369,26.98,78,20,5.66,DO,1680360037
134,coahuayana,18.7333,-103.6833,28.1,23,50,0.32,MX,1680360038
135,saint-philippe,-21.3585,55.7679,27.77,86,57,4.43,RE,1680360038
136,port lincoln,-34.7333,135.8667,14.78,64,26,5.88,AU,1680360038
137,port alfred,-33.5906,26.891,23.43,75,0,2.24,ZA,1680360038
138,kotturu,14.8167,76.2167,29.31,22,76,1.9,IN,1680360038
139,provideniya,64.3833,-173.3,-3.96,96,98,4.42,RU,1680360038
140,kangaatsiaq,68.3065,-53.4641,-20.08,92,91,3.28,GL,1680360038
141,yulara,-25.2406,130.9889,18.26,68,100,4.6,AU,1680360038
142,thinadhoo,0.5333,72.9333,28.18,73,99,2.11,MV,1680360038
143,avera,33.194,-82.5271,22.43,82,100,8.17,US,1680360039
144,nikolskoye,59.7035,30.7861,1.0,97,100,3.38,RU,1680360039
145,tarazona,41.9,-1.7333,15.9,50,96,6.57,ES,1680360039
146,beloslav,43.1833,27.7,19.92,86,75,5.14,BG,1680360039
147,norman wells,65.282,-126.8329,-13.98,85,100,0.0,CA,1680360039
148,manjacaze,-24.7117,33.8828,23.98,85,54,3.23,MZ,1680360039
149,ocsod,46.9,20.4,15.18,64,100,6.47,HU,1680360039
150,adrar,20.5022,-10.0711,35.89,4,0,6.96,MR,1680360039
151,great bend,38.3645,-98.7648,5.47,55,0,5.66,US,1680360039
152,bahia blanca,-38.7196,-62.2724,18.23,44,0,7.72,AR,1680359855
153,la ronge,55.1001,-105.2842,-6.86,86,100,4.63,CA,1680360039
154,fianarantsoa,-21.4333,47.0833,19.28,90,100,2.56,MG,1680360040
155,iqaluit,63.7506,-68.5145,-12.15,79,100,3.09,CA,1680360040
156,carnarvon,-24.8667,113.6333,24.87,73,91,5.99,AU,1680360040
157,provost,52.3501,-110.2683,-4.62,100,100,1.85,CA,1680360040
158,faanui,-16.4833,-151.75,27.72,73,27,2.56,PF,1680360040
159,veraval,20.9,70.3667,25.17,76,37,4.88,IN,1680360040
160,san patricio,28.017,-97.5169,26.15,76,98,2.67,US,1680359781
161,nabire,-3.3667,135.4833,24.68,93,100,1.16,ID,1680360040
162,langarud,37.197,50.1535,8.03,87,93,2.3,IR,1680359743
163,pitimbu,-7.4706,-34.8086,30.33,64,79,4.56,BR,1680360041
164,peniche,39.3558,-9.3811,18.38,93,20,5.97,PT,1680359669
165,opunake,-39.4556,173.8583,18.8,92,88,5.2,NZ,1680360041
166,karratha,-20.7377,116.8463,28.38,69,28,2.37,AU,1680360041
167,baiao,-2.7906,-49.6717,27.45,74,100,1.04,BR,1680360041
168,ponta delgada,37.7333,-25.6667,18.4,82,20,4.63,PT,1680360041
169,kalmunai,7.4167,81.8167,27.29,78,0,4.19,LK,1680360042
170,inhambane,-23.865,35.3833,26.99,69,40,3.58,MZ,1680360042
171,cidreira,-30.1811,-50.2056,18.8,66,62,7.44,BR,1680360042
172,college,64.8569,-147.8028,-10.82,73,75,2.06,US,1680360042
173,bairnsdale,-37.8333,147.6167,8.57,81,10,1.83,AU,1680360042
174,matay,28.419,30.7792,23.88,20,0,6.81,EG,1680360042
175,illapel,-31.6308,-71.1653,25.75,27,74,2.78,CL,1680360042
176,opuwo,-18.0607,13.84,31.38,21,35,1.66,NA,1680360043
177,belaya gora,68.5333,146.4167,-30.39,100,93,1.86,RU,1680360043
178,aksha,50.2814,113.2867,-4.21,38,100,5.56,RU,1680360043
179,amga,60.8953,131.9608,-14.35,89,100,3.94,RU,1680360043
180,joshimath,30.5667,79.5667,9.25,88,100,0.88,IN,1680360044
181,east london,-33.0153,27.9116,22.57,70,3,5.31,ZA,1680360044
182,igrim,63.1906,64.4162,2.2,98,100,6.0,RU,1680360044
183,murgab,37.4966,61.9714,19.93,52,75,3.09,TM,1680360044
184,yerbogachen,61.2767,108.0108,-25.06,99,36,0.88,RU,1680360044
185,geraldton,-28.7667,114.6,21.23,83,30,4.12,AU,1680359918
186,clyde river,70.4692,-68.5914,-23.87,84,0,5.14,CA,1680360045
187,avarua,-21.2078,-159.775,23.03,100,77,0.51,CK,1680360045
188,chaman,30.9236,66.4512,20.13,38,59,3.8,PK,1680360045
189,raudeberg,61.9875,5.1352,7.37,69,30,1.14,NO,1680360045
190,vila franca do campo,37.7167,-25.4333,18.23,68,100,4.32,PT,1680360045
191,tiksi,71.6872,128.8694,-18.34,85,50,8.86,RU,1680360045
192,beloha,-25.1667,45.05,23.9,83,83,5.36,MG,1680360045
193,mpika,-11.8343,31.4529,17.48,94,100,0.39,ZM,1680360045
194,sisimiut,66.9395,-53.6735,-10.63,61,1,3.91,GL,1680360046
195,kloulklubed,7.0419,134.2556,25.28,68,99,0.36,PW,1680360046
196,naryan-mar,67.6713,53.087,-8.09,95,100,2.42,RU,1680360046
197,wagar,16.1525,36.2032,33.15,12,100,5.02,SD,1680360046
198,omboue,-1.5746,9.2618,26.08,82,100,2.94,GA,1680360047
199,kaitangata,-46.2817,169.8464,11.62,88,99,2.28,NZ,1680360047
200,souillac,-20.5167,57.5167,27.21,78,40,3.6,MU,1680360047
201,lorengau,-2.0226,147.2712,26.11,80,97,0.63,PG,1680360047
202,shimoda,34.6667,138.95,14.5,82,100,4.48,JP,1680360047
203,moree,-29.4667,149.85,17.12,50,0,2.53,AU,1680360047
204,mar del plata,-38.0023,-57.5575,19.35,59,0,1.54,AR,1680359946
205,sterlitamak,53.6246,55.9502,7.29,79,96,0.71,RU,1680360048
